epoch,hidden_size,accuracy
0,512,0.8511
1,512,0.882
2,512,0.8991
3,512,0.9091
4,512,0.9096
5,512,0.9171
6,512,0.9195
7,512,0.9188
8,512,0.925
9,512,0.9211
10,512,0.9181
11,512,0.9248
12,512,0.9157
13,512,0.9226
14,512,0.9147
15,512,0.9178
16,512,0.9171
17,512,0.9089
18,512,0.9087
19,512,0.9142
20,512,0.9255
21,512,0.9277
22,512,0.9178
23,512,0.911
24,512,0.9242
25,512,0.9241
26,512,0.9152
27,512,0.9121
28,512,0.9215
29,512,0.9043
30,512,0.9071
31,512,0.9084
32,512,0.9212
33,512,0.9205
34,512,0.9204
35,512,0.8971
36,512,0.9061
37,512,0.8957
38,512,0.8974
39,512,0.8947
