epoch,hidden_size,accuracy
0,192,0.8107
1,192,0.8674
2,192,0.8817
3,192,0.8908
4,192,0.9005
5,192,0.9034
6,192,0.908
7,192,0.9056
8,192,0.9081
9,192,0.9089
10,192,0.9117
11,192,0.9093
12,192,0.9129
13,192,0.9097
14,192,0.9122
15,192,0.9111
16,192,0.911
17,192,0.9096
18,192,0.9138
19,192,0.913
20,192,0.9064
21,192,0.9086
22,192,0.9122
23,192,0.9177
24,192,0.9199
25,192,0.9136
26,192,0.9112
27,192,0.9183
28,192,0.9131
29,192,0.9116
30,192,0.9087
31,192,0.9108
32,192,0.9094
33,192,0.9034
34,192,0.9163
35,192,0.9075
36,192,0.9007
37,192,0.8718
38,192,0.8859
39,192,0.8758
