epoch,hidden_size,accuracy
0,800,0.8668
1,800,0.8962
2,800,0.9076
3,800,0.9113
4,800,0.9192
5,800,0.9199
6,800,0.9293
7,800,0.9332
8,800,0.9337
9,800,0.9396
10,800,0.9422
11,800,0.9345
12,800,0.9374
13,800,0.9325
14,800,0.9432
15,800,0.9406
16,800,0.945
17,800,0.9461
18,800,0.9443
19,800,0.939
20,800,0.9452
21,800,0.9449
22,800,0.9443
23,800,0.9471
24,800,0.9449
25,800,0.9434
26,800,0.9398
27,800,0.9469
28,800,0.943
29,800,0.9466
30,800,0.943
31,800,0.9417
32,800,0.9445
33,800,0.9436
34,800,0.9461
35,800,0.9403
36,800,0.9434
37,800,0.94
38,800,0.9388
39,800,0.9419
