epoch,hidden_size,accuracy
0,864,0.8644
1,864,0.8901
2,864,0.9016
3,864,0.9035
4,864,0.9107
5,864,0.9191
6,864,0.921
7,864,0.9221
8,864,0.9341
9,864,0.9308
10,864,0.9364
11,864,0.9415
12,864,0.945
13,864,0.9453
14,864,0.9452
15,864,0.9438
16,864,0.9476
17,864,0.9405
18,864,0.9468
19,864,0.9445
20,864,0.9451
21,864,0.9476
22,864,0.9419
23,864,0.9416
24,864,0.9451
25,864,0.9417
26,864,0.9398
27,864,0.9391
28,864,0.9397
29,864,0.9405
30,864,0.9386
31,864,0.9359
32,864,0.935
33,864,0.9376
34,864,0.9374
35,864,0.9369
36,864,0.9385
37,864,0.9322
38,864,0.9342
39,864,0.9246
