epoch,hidden_size,accuracy
0,96,0.7839
1,96,0.8476
2,96,0.8709
3,96,0.8839
4,96,0.8919
5,96,0.8959
6,96,0.8951
7,96,0.8962
8,96,0.9038
9,96,0.904
10,96,0.9011
11,96,0.8963
12,96,0.898
13,96,0.8995
14,96,0.9047
15,96,0.8985
16,96,0.9017
17,96,0.8961
18,96,0.8864
19,96,0.8941
20,96,0.8984
21,96,0.8935
22,96,0.8926
23,96,0.8918
24,96,0.8974
25,96,0.8844
26,96,0.88
27,96,0.8872
28,96,0.8802
29,96,0.8788
30,96,0.8762
31,96,0.862
32,96,0.8692
33,96,0.8648
34,96,0.8715
35,96,0.8562
36,96,0.8505
37,96,0.8528
38,96,0.8486
39,96,0.8474
