epoch,hidden_size,accuracy
0,384,0.8533
1,384,0.8884
2,384,0.9
3,384,0.904
4,384,0.9133
5,384,0.9174
6,384,0.9196
7,384,0.9222
8,384,0.9269
9,384,0.9282
10,384,0.9299
11,384,0.9305
12,384,0.9321
13,384,0.9297
14,384,0.9324
15,384,0.9313
16,384,0.9327
17,384,0.9342
18,384,0.9297
19,384,0.9379
20,384,0.9335
21,384,0.9324
22,384,0.9349
23,384,0.9337
24,384,0.9317
25,384,0.9354
26,384,0.9318
27,384,0.9387
28,384,0.9371
29,384,0.9333
30,384,0.934
31,384,0.9325
32,384,0.9328
33,384,0.9292
34,384,0.9233
35,384,0.9297
36,384,0.9292
37,384,0.9308
38,384,0.9329
39,384,0.9257
