epoch,hidden_size,accuracy
0,1536,0.8785
1,1536,0.8936
2,1536,0.9089
3,1536,0.9133
4,1536,0.9223
5,1536,0.9285
6,1536,0.9298
7,1536,0.9257
8,1536,0.9317
9,1536,0.9389
10,1536,0.9368
11,1536,0.9408
12,1536,0.9428
13,1536,0.9453
14,1536,0.9445
15,1536,0.9474
16,1536,0.9529
17,1536,0.9464
18,1536,0.9486
19,1536,0.9511
20,1536,0.9477
21,1536,0.9494
22,1536,0.9465
23,1536,0.9502
24,1536,0.9458
25,1536,0.9493
26,1536,0.9505
27,1536,0.9398
28,1536,0.9517
29,1536,0.9482
30,1536,0.9493
31,1536,0.9422
32,1536,0.9458
33,1536,0.9522
34,1536,0.9409
35,1536,0.9448
36,1536,0.9482
37,1536,0.9468
38,1536,0.9485
39,1536,0.952
