epoch,hidden_size,accuracy
0,992,0.8718
1,992,0.9056
2,992,0.9135
3,992,0.9204
4,992,0.9249
5,992,0.9226
6,992,0.9269
7,992,0.9294
8,992,0.9355
9,992,0.9355
10,992,0.9419
11,992,0.9444
12,992,0.9425
13,992,0.941
14,992,0.9413
15,992,0.9375
16,992,0.9406
17,992,0.9445
18,992,0.9482
19,992,0.9415
20,992,0.9389
21,992,0.9471
22,992,0.9431
23,992,0.9484
24,992,0.9493
25,992,0.9496
26,992,0.9464
27,992,0.9492
28,992,0.9516
29,992,0.9454
30,992,0.9493
31,992,0.9454
32,992,0.9468
33,992,0.9465
34,992,0.9469
35,992,0.9456
36,992,0.9479
37,992,0.9438
38,992,0.9491
39,992,0.9472
