epoch,hidden_size,accuracy
0,608,0.8629
1,608,0.888
2,608,0.9045
3,608,0.9116
4,608,0.9193
5,608,0.9266
6,608,0.9242
7,608,0.9282
8,608,0.9339
9,608,0.9337
10,608,0.9373
11,608,0.9398
12,608,0.9397
13,608,0.9417
14,608,0.9431
15,608,0.9428
16,608,0.9398
17,608,0.9443
18,608,0.9452
19,608,0.9494
20,608,0.9502
21,608,0.9478
22,608,0.9489
23,608,0.9488
24,608,0.9488
25,608,0.9494
26,608,0.9479
27,608,0.9545
28,608,
29,608,
