epoch,hidden_size,accuracy
0,928,0.8694
1,928,0.8954
2,928,0.9013
3,928,0.9151
4,928,0.9233
5,928,0.9263
6,928,0.9307
7,928,0.9346
8,928,0.9363
9,928,0.9407
10,928,0.944
11,928,0.9384
12,928,0.9411
13,928,0.9422
14,928,0.9438
15,928,0.9436
16,928,0.9405
17,928,0.9458
18,928,0.9479
19,928,0.9471
20,928,0.9493
21,928,0.9416
22,928,0.9494
23,928,0.9473
24,928,0.9484
25,928,0.9442
26,928,0.9502
27,928,0.9499
28,928,0.9477
29,928,0.9509
30,928,0.9495
31,928,0.9485
32,928,0.9412
33,928,0.9449
34,928,0.9446
35,928,0.9445
36,928,0.9461
37,928,0.9416
38,928,0.9469
39,928,0.9464
