epoch,hidden_size,accuracy
0,256,0.8349
1,256,0.8771
2,256,0.8872
3,256,0.8972
4,256,0.9011
5,256,0.9036
6,256,0.9066
7,256,0.9072
8,256,0.9039
9,256,0.9069
10,256,0.9117
11,256,0.9069
12,256,0.9168
13,256,0.9115
14,256,0.9167
15,256,0.9144
16,256,0.9112
17,256,0.9009
18,256,0.8959
19,256,0.9049
20,256,0.8951
21,256,0.8898
22,256,0.8926
23,256,0.9019
24,256,0.8985
25,256,0.8861
26,256,0.8884
27,256,0.8856
28,256,0.8913
29,256,0.8988
30,256,0.8985
31,256,0.8896
32,256,0.8808
33,256,0.903
34,256,0.8944
35,256,0.8886
36,256,0.8865
37,256,0.8952
38,256,0.9007
39,256,0.9031
