epoch,hidden_size,accuracy
0,896,0.8794
1,896,0.8976
2,896,0.9106
3,896,0.9191
4,896,0.9258
5,896,0.9283
6,896,0.9269
7,896,0.9331
8,896,0.9362
9,896,0.9412
10,896,0.9422
11,896,0.9445
12,896,0.9445
13,896,0.9423
14,896,0.9415
15,896,0.9431
16,896,0.9465
17,896,0.9483
18,896,0.9515
19,896,0.9506
20,896,0.9515
21,896,0.9535
22,896,0.9535
23,896,0.9555
24,896,0.9516
25,896,0.9541
26,896,0.953
27,896,0.9544
28,896,0.9554
29,896,0.9544
30,896,0.9493
31,896,0.9532
32,896,0.9518
33,896,0.9509
34,896,0.9536
35,896,0.9533
36,896,0.9528
37,896,0.9512
38,896,0.9512
39,896,0.9531
