epoch,hidden_size,accuracy
0,672,0.8629
1,672,0.8925
2,672,0.9055
3,672,0.9137
4,672,0.9162
5,672,0.9222
6,672,0.9269
7,672,0.9368
8,672,0.9352
9,672,0.9383
10,672,0.9389
11,672,0.9393
12,672,0.9388
13,672,0.937
14,672,0.942
15,672,0.943
16,672,0.9406
17,672,0.9402
18,672,0.9435
19,672,0.9431
20,672,0.9487
21,672,0.9406
22,672,0.9456
23,672,0.9384
24,672,0.9426
25,672,0.9435
26,672,0.9418
27,672,0.9408
28,672,0.9394
29,672,0.9427
30,672,0.9432
31,672,0.9413
32,672,0.9369
33,672,0.9425
34,672,0.9403
35,672,0.9391
36,672,0.9409
37,672,0.9387
38,672,0.9358
39,672,0.9335
