epoch,hidden_size,accuracy
0,1280,0.8808
1,1280,0.9022
2,1280,0.9116
3,1280,0.9132
4,1280,0.9178
5,1280,0.9259
6,1280,0.9275
7,1280,0.9278
8,1280,0.9298
9,1280,0.9337
10,1280,0.9343
11,1280,0.935
12,1280,0.9401
13,1280,0.9427
14,1280,0.9455
15,1280,0.9431
16,1280,0.9497
17,1280,0.9435
18,1280,0.9391
19,1280,0.9449
20,1280,0.9426
21,1280,0.9418
22,1280,0.9433
23,1280,0.9391
24,1280,0.9424
25,1280,0.9451
26,1280,0.9359
27,1280,0.9455
28,1280,0.945
29,1280,0.9392
30,1280,0.9388
31,1280,0.939
32,1280,0.9345
33,1280,0.93
34,1280,0.9276
35,1280,0.9332
36,1280,0.9363
37,1280,0.9385
38,1280,0.9322
39,1280,0.9262
