epoch,hidden_size,accuracy
0,1024,0.8735
1,1024,0.887
2,1024,0.9071
3,1024,0.9124
4,1024,0.9127
5,1024,0.926
6,1024,0.9269
7,1024,0.9293
8,1024,0.9253
9,1024,0.9286
10,1024,0.9364
11,1024,0.9383
12,1024,0.9384
13,1024,0.9361
14,1024,0.9432
15,1024,0.9432
16,1024,0.9455
17,1024,0.946
18,1024,0.9458
19,1024,0.942
20,1024,0.9437
21,1024,0.9485
22,1024,0.95
23,1024,0.9507
24,1024,0.9471
25,1024,0.9499
26,1024,0.9433
27,1024,0.9459
28,1024,0.9464
29,1024,0.9476
30,1024,0.9476
31,1024,0.9478
32,1024,0.9454
33,1024,0.9441
34,1024,0.9477
35,1024,0.9429
36,1024,0.9473
37,1024,0.9459
38,1024,0.9483
39,1024,0.9423
