epoch,hidden_size,accuracy
0,704,0.8678
1,704,0.8929
2,704,0.9074
3,704,0.9154
4,704,0.9201
5,704,0.9273
6,704,0.9331
7,704,0.9343
8,704,0.9348
9,704,0.939
10,704,0.9395
11,704,0.9404
12,704,0.9434
13,704,0.9473
14,704,0.9476
15,704,0.9438
16,704,0.9446
17,704,0.9464
18,704,0.9477
19,704,0.9485
20,704,0.9494
21,704,0.949
22,704,0.95
23,704,0.9524
24,704,0.9498
25,704,0.9471
26,704,0.9498
27,704,0.9462
28,704,0.9496
29,704,0.9498
30,704,0.9436
31,704,0.9473
32,704,0.9458
33,704,0.9492
34,704,0.9475
35,704,0.9494
36,704,0.9474
37,704,0.9462
38,704,0.9482
39,704,0.9453
