epoch,hidden_size,accuracy
0,768,0.8625
1,768,0.8924
2,768,0.8968
3,768,0.909
4,768,0.9053
5,768,0.9131
6,768,0.9182
7,768,0.9166
8,768,0.9255
9,768,0.9303
10,768,0.9342
11,768,0.9366
12,768,0.9308
13,768,0.9405
14,768,0.9341
15,768,0.936
16,768,0.9357
17,768,0.9425
18,768,0.9403
19,768,0.9381
20,768,0.9462
21,768,0.9453
22,768,0.9386
23,768,0.946
24,768,0.9451
25,768,0.9435
26,768,0.9404
27,768,0.942
28,768,0.9436
29,768,0.9463
30,768,0.945
31,768,0.9447
32,768,0.9415
33,768,0.9405
34,768,0.9435
35,768,0.9424
36,768,0.9442
37,768,0.9427
38,768,0.9427
39,768,0.9414
