epoch,hidden_size,accuracy
0,640,0.8634
1,640,0.8916
2,640,0.9039
3,640,0.9141
4,640,0.9176
5,640,0.9248
6,640,0.9315
7,640,0.9357
8,640,0.9395
9,640,0.9377
10,640,0.9417
11,640,0.9452
12,640,0.9464
13,640,0.9414
14,640,0.9431
15,640,0.9437
16,640,0.9483
17,640,0.9459
18,640,0.9445
19,640,0.9477
20,640,0.9493
21,640,0.9474
22,640,0.9487
23,640,0.9479
24,640,0.9452
25,640,0.9425
26,640,0.9442
27,640,0.9474
28,640,0.9469
29,640,0.9424
30,640,0.9474
31,640,0.9475
32,640,0.9458
33,640,0.9457
34,640,0.9421
35,640,0.9462
36,640,0.942
37,640,0.9475
38,640,0.9448
39,640,0.9472
