epoch,hidden_size,accuracy
0,736,0.8737
1,736,0.895
2,736,0.9021
3,736,0.9093
4,736,0.9175
5,736,0.925
6,736,0.9256
7,736,0.9304
8,736,0.9319
9,736,0.9341
10,736,0.937
11,736,0.9393
12,736,0.9408
13,736,0.9439
14,736,0.9417
15,736,0.9412
16,736,0.9416
17,736,0.9446
18,736,0.9476
19,736,0.9489
20,736,0.9444
21,736,0.9461
22,736,0.9471
23,736,0.948
24,736,0.9477
25,736,0.9486
26,736,0.9404
27,736,0.9413
28,736,0.9472
29,736,0.9438
30,736,0.9401
31,736,0.9421
32,736,0.9405
33,736,0.9404
34,736,0.9375
35,736,0.9389
36,736,0.9394
37,736,0.9402
38,736,0.9437
39,736,0.9422
