epoch,hidden_size,accuracy
0,2048,0.8636
1,2048,0.8868
2,2048,0.8974
3,2048,0.9039
4,2048,0.9138
5,2048,0.9189
6,2048,0.9248
7,2048,0.9342
8,2048,0.9384
9,2048,0.9386
10,2048,0.9383
11,2048,0.9402
12,2048,0.942
13,2048,0.9474
14,2048,0.9507
15,2048,0.9397
16,2048,0.9451
17,2048,0.9401
18,2048,0.9471
19,2048,0.9467
20,2048,0.9406
21,2048,0.9496
22,2048,0.9503
23,2048,0.9488
24,2048,0.9482
25,2048,0.9485
26,2048,0.9467
27,2048,0.9433
28,2048,0.9455
29,2048,0.9475
30,2048,0.945
31,2048,0.9512
32,2048,0.9491
33,2048,0.9477
34,2048,0.9494
35,2048,0.9494
36,2048,0.9488
37,2048,0.9472
38,2048,0.9525
39,2048,0.9554
