epoch,hidden_size,accuracy
0,544,0.86
1,544,0.8916
2,544,0.9002
3,544,0.9099
4,544,0.92
5,544,0.9254
6,544,0.9285
7,544,0.9324
8,544,0.9368
9,544,0.9345
10,544,0.9311
11,544,0.9353
12,544,0.9368
13,544,0.9379
14,544,0.9398
15,544,0.9403
16,544,0.9409
17,544,0.9398
18,544,0.9348
19,544,0.9405
20,544,0.9465
21,544,0.9426
22,544,0.9385
23,544,0.9434
24,544,0.9412
25,544,0.9407
26,544,0.9413
27,544,0.936
28,544,0.9372
29,544,0.9392
30,544,0.931
31,544,0.9376
32,544,0.9318
33,544,0.9362
34,544,0.936
35,544,0.9306
36,544,0.9366
37,544,0.9359
38,544,0.9329
39,544,0.9293
