epoch,hidden_size,accuracy
0,128,0.7918
1,128,0.8546
2,128,0.8774
3,128,0.883
4,128,0.8959
5,128,0.8983
6,128,0.9038
7,128,0.904
8,128,0.9063
9,128,0.9052
10,128,0.9064
11,128,0.9112
12,128,0.9116
13,128,0.9124
14,128,0.9135
15,128,0.9103
16,128,0.9157
17,128,0.9116
18,128,0.9043
19,128,0.908
20,128,0.9096
21,128,0.9072
22,128,0.8983
23,128,0.9059
24,128,0.8971
25,128,0.895
26,128,0.8824
27,128,0.8937
28,128,0.8805
29,128,0.8961
30,128,0.906
31,128,0.8954
32,128,0.9049
33,128,0.8995
34,128,0.9022
35,128,0.8905
36,128,0.8975
37,128,0.8905
38,128,0.8915
39,128,0.8791
