epoch,hidden_size,accuracy
0,1792,0.87
1,1792,0.9036
2,1792,0.9084
3,1792,0.9091
4,1792,0.9134
5,1792,0.9158
6,1792,0.9208
7,1792,0.9159
8,1792,0.9119
9,1792,0.9193
10,1792,0.9147
11,1792,0.9115
12,1792,0.9253
13,1792,0.9187
14,1792,0.9295
15,1792,0.9252
16,1792,0.9067
17,1792,0.8977
18,1792,0.9144
19,1792,0.9061
20,1792,0.9002
21,1792,0.9127
22,1792,0.8961
23,1792,0.9045
24,1792,0.9005
25,1792,0.9166
26,1792,0.8988
27,1792,0.9149
28,1792,0.9102
29,1792,0.9037
30,1792,0.9124
31,1792,0.9156
32,1792,0.898
33,1792,0.9188
34,1792,0.9032
35,1792,0.9186
36,1792,0.9149
37,1792,0.9185
38,1792,0.9013
39,1792,0.9088
