epoch,hidden_size,accuracy
0,64,0.6862
1,64,0.8006
2,64,0.8425
3,64,0.8668
4,64,0.8762
5,64,0.8879
6,64,0.8909
7,64,0.8923
8,64,0.8864
9,64,0.8909
10,64,0.8963
11,64,0.8939
12,64,0.897
13,64,0.8921
14,64,0.8893
15,64,0.8883
16,64,0.8974
17,64,0.8929
18,64,0.8893
19,64,0.8946
20,64,0.889
21,64,0.8892
22,64,0.8892
23,64,0.8961
24,64,0.8895
25,64,0.8859
26,64,0.8835
27,64,0.8765
28,64,0.8813
29,64,0.8641
30,64,0.8639
31,64,0.8589
32,64,0.8611
33,64,0.8604
34,64,0.857
35,64,0.8453
36,64,0.8414
37,64,0.8282
38,64,0.8372
39,64,0.8344
