epoch,hidden_size,accuracy
0,960,0.8732
1,960,0.8969
2,960,0.9091
3,960,0.9174
4,960,0.9212
5,960,0.9258
6,960,0.9248
7,960,0.9245
8,960,0.9338
9,960,0.9351
10,960,0.9361
11,960,0.9326
12,960,0.9371
13,960,0.9411
14,960,0.9398
15,960,0.9454
16,960,0.9468
17,960,0.944
18,960,0.9351
19,960,0.9404
20,960,0.9485
21,960,0.9456
22,960,0.948
23,960,0.9435
24,960,0.9492
25,960,0.944
26,960,0.9462
27,960,0.9487
28,960,0.9479
29,960,0.9452
30,960,0.9475
31,960,0.9467
32,960,0.9447
33,960,0.9437
34,960,0.9482
35,960,0.9442
36,960,0.9391
37,960,0.9388
38,960,0.9423
39,960,0.9413
