epoch,hidden_size,accuracy
0,832,0.8678
1,832,0.8892
2,832,0.9035
3,832,0.9115
4,832,0.9071
5,832,0.9209
6,832,0.9215
7,832,0.9205
8,832,0.9299
9,832,0.9305
10,832,0.9388
11,832,0.9323
12,832,0.9331
13,832,0.9374
14,832,0.9387
15,832,0.9429
16,832,0.9323
17,832,0.9369
18,832,0.9455
19,832,0.9389
20,832,0.9334
21,832,0.9341
22,832,0.9373
23,832,0.9436
24,832,0.9455
25,832,0.9456
26,832,0.942
27,832,0.936
28,832,0.9324
29,832,0.9427
30,832,0.9313
31,832,0.9383
32,832,0.9368
33,832,0.9358
34,832,0.9369
35,832,0.9274
36,832,0.9383
37,832,0.9241
38,832,0.9172
39,832,0.9273
