epoch,hidden_size,accuracy
0,608,0.8649
1,608,0.8893
2,608,0.9076
3,608,0.9145
4,608,0.9182
5,608,0.9216
6,608,0.9314
7,608,0.9322
8,608,0.9301
9,608,0.934
10,608,0.941
11,608,0.9406
12,608,0.9422
13,608,0.943
14,608,0.945
15,608,0.946
16,608,0.9414
17,608,0.9483
18,608,0.9494
19,608,0.9515
20,608,0.9492
21,608,0.9472
22,608,0.949
23,608,0.9524
24,608,0.9489
25,608,0.9508
26,608,0.9489
27,608,0.951
28,608,0.9478
29,608,0.947
